Company,Funding Round,Amount,Date,RupeesAmount,dollarAmt
Shomish,Seed,—,"Jan 1, 2022",0,0
TalentSpotify,Seed,—,"Dec 1, 2022",0,0
Cognosia,Venture - Series Unknown,—,"Jan 1, 2023",0,0
KisanKraft,Angel,"$40,000","Jan 1, 2006",3000000,36000
GoVidyouth Mobility,Venture - Series Unknown,—,"Jan 1, 2022",0,0
Neuranics Lab,Seed,—,"Jan 1, 2022",0,0
Manodayam,Seed,—,"Jan 1, 2022",0,0
Yoobbel,Seed,—,"Jan 1, 2022",0,0
Bookzy,Seed,—,"Jan 1, 2022",0,0
Unnati,Series B,"₹285,000,000","Jun 14, 2023",285000000,3420000
FXDX,Seed,"$570,000","Sep 29, 2021",42750000,513000
Banzan Ventures,Venture - Series Unknown,—,"Jan 1, 2023",0,0
MaxByte Technologies,Venture - Series Unknown,—,"Oct 23, 2019",0,0
Volt Money,Pre-Seed,"₹123,000,000","Jun 20, 2023",123000000,1476000
Krishigati,Seed,—,"Jan 1, 2022",0,0
EV Urjaa,Venture - Series Unknown,—,"Jan 1, 2023",0,0
Xomoy Innovatives,Seed,—,"Jan 1, 2022",0,0
Kaigal.com,Venture - Series Unknown,—,"Jan 1, 2022",0,0
humblX,Venture - Series Unknown,—,"Jan 1, 2023",0,0
Les Aider Wellness,Seed,—,"Jan 1, 2022",0,0
Codebugged,Venture - Series Unknown,—,"Jan 1, 2023",0,0
Clarila Technologies,Seed,—,"Jan 1, 2022",0,0
Inofinity R&D,Venture - Series Unknown,—,"Jan 1, 2023",0,0
Arkision AI,Venture - Series Unknown,—,"Jan 1, 2022",0,0
Ecoprosus,Venture - Series Unknown,—,"Jan 1, 2022",0,0
Gofresh,Venture - Series Unknown,—,"Jan 1, 2023",0,0
Utkarsh Small Finance Bank,Debt Financing,"$22,090,000","Jan 1, 2017",1656750000,19881000
Brenin,Venture - Series Unknown,—,"Jan 1, 2023",0,0
CashCry,Venture - Series Unknown,—,"Jan 1, 2023",0,0
Black Eye Technologies,Seed,—,"Jan 1, 2022",0,0
Carbonout Techcom,Seed,—,"Jan 1, 2023",0,0
RaamSetu Agrotech,Seed,—,"Jan 1, 2022",0,0
OSCB Solutions,Seed,—,"Jan 1, 2023",0,0
BigOHealth,Venture - Series Unknown,—,"Jan 1, 2023",0,0
Shree Raj Govind Technologies,Seed,—,"Jan 1, 2022",0,0
Axlemechanic Technologies,Seed,—,"Jan 1, 2022",0,0
AgroStar,Venture - Series Unknown,"$504,930","May 1, 2023",37869750,454437
Utkarsh Small Finance Bank,Venture - Series Unknown,"$10,610,000","Dec 1, 2014",795750000,9549000
Vidality Gobal Health,Seed,—,"Jan 1, 2023",0,0
CogniCue,Seed,—,"Jan 1, 2022",0,0
Utkarsh Small Finance Bank,Venture - Series Unknown,"$3,280,000","Nov 1, 2017",246000000,2952000
Jobskul,Venture - Series Unknown,—,"Jan 1, 2023",0,0
Clotech Innovations,Seed,—,"Jan 1, 2023",0,0
AvalonMeta Ventures,Seed,"$50,000","May 25, 2021",3750000,45000
Fides Medtech,Seed,—,"Jan 1, 2022",0,0
Tata Capital,Debt Financing,"$30,000,000","Dec 1, 2020",2250000000,27000000
Julien Innovations,Venture - Series Unknown,—,"Jan 1, 2022",0,0
Tan90,Seed,"₹113,200,000","May 31, 2023",113200000,1358400
Roserve,Debt Financing,"$9,750,000","Dec 1, 2019",731250000,8775000
GoApptiv,Pre-Seed,—,"Mar 1, 2016",0,0
Coratia Technologies,Seed,—,"Jan 1, 2022",0,0
Basic Home Loan,Series B,"₹385,000,000","Jun 14, 2023",385000000,4620000
BigBasket,Venture - Series Unknown,"$11,600,000","Jul 1, 2021",870000000,10440000
Rainbow Hospitals,Debt Financing,"$14,950,000","Aug 1, 2016",1121250000,13455000
Jyoti International Foods,Private Equity,"₹1,070,000,000","Jun 23, 2020",1070000000,12840000
Cloudbankin,Venture - Series Unknown,"$400,000","Jun 14, 2023",30000000,360000
56,Pre-Seed,—,"Aug 9, 2021",0,0
Narayana Hrudayalaya,Post-IPO Debt,"$1,250,000","Oct 1, 2018",93750000,1125000
Manipal Group,Venture - Series Unknown,"$58,900,000","Jan 1, 2017",4417500000,53010000
The Sanmar Group,Venture - Series Unknown,"$300,000,000","Apr 8, 2016",22500000000,270000000
The Sanmar Group,Debt Financing,—,"Apr 8, 2016",0,0
RBL Bank,Post-IPO Equity,"$11,570,000","Aug 1, 2020",867750000,10413000
Yatharth Super Speciality Hospitals,Funding Round,"₹1,200,000,000","Jul 8, 2023",1200000000,14400000
Funstop Games,Seed,"$1,500,000","Apr 23, 2023",112500000,1350000
FreshBus,Seed,"₹160,000,000","Nov 1, 2022",160000000,1920000
HealthifyMe,Series D,"$30,000,000","Jun 7, 2023",2250000000,27000000
Nestroots,Seed,"$100,000","Jul 2, 2021",7500000,90000
Osam Dairy,Venture - Series Unknown,"$7,920,000","Jun 1, 2019",594000000,7128000
Green Infra Ltd.,Private Equity,"$24,930,000","Oct 1, 2013",1869750000,22437000
Newtrace,Seed,"₹467,000,000","May 31, 2023",467000000,5604000
NIKOL EV,Pre-Seed,—,"Apr 1, 2023",0,0
HealthCare Global Enterprises.,Venture - Series Unknown,"$5,250,000","Jun 1, 2017",393750000,4725000
Jana Small Finance Bank,Private Equity,"₹5,600,000,000","Jun 28, 2023",5600000000,67200000
EventBeep,Funding Round,"₹3,000,000","Jan 7, 2022",3000000,36000
IIFL Finance,Post-IPO Debt,"$150,080,000","Sep 1, 2016",11256000000,135072000
Wysa,Non-equity Assistance,—,"Jan 18, 2022",0,0
Jai Kisan,Venture - Series Unknown,"$3,020,000","Jan 1, 2023",226500000,2718000
ZeoAuto,Seed,"$1,000,000","Apr 5, 2020",75000000,900000
IIFL Finance,Post-IPO Debt,"$48,180,000","Jun 1, 2018",3613500000,43362000
Louis Stitch,Seed,"₹50,000,000","Jul 20, 2023",50000000,600000
VVFit Solutions,Series A,"$865,000","May 23, 2021",64875000,778500
Reliance Jio,Debt Financing,"$1,600,000,000","Jul 13, 2023",1.2E+11,1440000000
AdaniConneX,Debt Financing,"$213,000,000","Jun 23, 2023",15975000000,191700000
Fusion Microfinance,Debt Financing,"$8,160,000","Mar 1, 2021",612000000,7344000
Equitas Small Finance Bank,Debt Financing,"$18,140,000","Sep 1, 2015",1360500000,16326000
Dr Agarwal Hospitals,Debt Financing,"$30,260,000","Nov 1, 2019",2269500000,27234000
Equitas Small Finance Bank,Venture - Series Unknown,"$5,950,000","Nov 1, 2014",446250000,5355000
CARE Hospitals Group,Private Equity,"$30,000,000","Feb 1, 2016",2250000000,27000000
Equitas Small Finance Bank,Venture - Series Unknown,"$16,160,000","Dec 1, 2013",1212000000,14544000
Ecom Express,Venture - Series Unknown,"$1,400,000","Jun 1, 2023",105000000,1260000
Fourth Partner Energy,Debt Financing,"$47,160,000","Jan 1, 2022",3537000000,42444000
NODWIN Gaming,Corporate Round,"$24,000,000","May 18, 2023",1800000000,21600000
ASA International India Microfinance,Debt Financing,"$5,440,000","Mar 1, 2021",408000000,4896000
Asirvad Microfinance,Debt Financing,"$6,800,000","Mar 1, 2021",510000000,6120000
Airtel,Post-IPO Debt,"$40,780,000","Dec 1, 2013",3058500000,36702000
Arohan Financial,Debt Financing,"$8,160,000","Mar 1, 2021",612000000,7344000
Medikabazaar,Debt Financing,"$10,000,000","Aug 1, 2021",750000000,9000000
Lenskart,Series I,"$100,000,000","Jun 15, 2023",7500000000,90000000
Chaitanya,Debt Financing,"$6,800,000","Mar 1, 2021",510000000,6120000
Annapurna Finance,Debt Financing,"$8,160,000","Mar 1, 2021",612000000,7344000
Africa Gateway,Venture - Series Unknown,"$325,000,000","Dec 1, 2021",24375000000,292500000
RenewBuy,Series D,"$40,000,000","Jul 18, 2023",3000000000,36000000
TaxNodes,Seed,"₹131,000,000","Jun 14, 2023",131000000,1572000
Sole Threads,Series A,"$3,700,000","Jul 18, 2023",277500000,3330000
E Sandhai,Seed,—,"Jan 28, 2023",0,0
Requestly,Seed,—,"May 24, 2022",0,0
Pupil Diner,Seed,—,"Jun 4, 2023",0,0
PhonePe,Private Equity,"$100,000,000","May 22, 2023",7500000000,90000000
Navadhan Capital,Seed,"$1,500,000","Jun 21, 2023",112500000,1350000
Rooter,Venture - Series Unknown,"$16,000,000","May 18, 2023",1200000000,14400000
Formi,Pre-Seed,"$165,000","May 2, 2023",12375000,148500
NestAway,Series D,"₹349,200,000","Sep 17, 2019",349200000,4190400
AgriApp Technologies,Pre-Seed,"₹10,000,000","Mar 8, 2023",10000000,120000
TagZ Foods,Seed,—,"Jun 5, 2023",0,0
Otipy,Series A,"₹760,000,000","Jul 19, 2021",760000000,9120000
Karma Healthcare,Series A,—,"Jun 26, 2023",0,0
Emerald Media,Funding Round,—,"Nov 3, 2015",0,0
Avaada,Corporate Round,"₹107,000,000,000","Jun 30, 2023",1.07E+11,1284000000
Spice Story,Seed,"₹7,000,000","Jun 30, 2023",7000000,84000
Tikkly Agro Solutions Pvt. Ltd.,Seed,—,"Mar 2, 2023",0,0
Otipy,Series B,"₹2,350,000,000","Mar 7, 2022",2350000000,28200000
Virohan,Series B,"₹562,000,000","Dec 8, 2022",562000000,6744000
RentoMojo,Venture - Series Unknown,"₹150,000,000","Nov 25, 2021",150000000,1800000
eFeed,Seed,"₹82,000,000","Jan 11, 2023",82000000,984000
Oriana Power,Funding Round,"$121,860","Jul 11, 2023",9139500,109674
XFlow,Seed,"$10,200,000","May 25, 2023",765000000,9180000
Hasiru Dala Innovations,Venture - Series Unknown,—,"Apr 22, 2021",0,0
IIFL Finance,Post-IPO Debt,"$175,000,000","Jul 3, 2023",13125000000,157500000
The Krishi,Seed,—,"Jan 1, 2021",0,0
Unreal finance,Seed,"$2,700,000","Jun 17, 2021",202500000,2430000
GreenCell Mobility,Debt Financing,"₹4,506,000,000","Nov 7, 2022",4506000000,54072000
Wingreens Farms,Venture - Series Unknown,"$10,000,000","Jul 23, 2023",750000000,9000000
Aris Infra,Venture - Series Unknown,—,"Jan 1, 2022",0,0
StepChange,Seed,"$4,000,000","May 23, 2023",300000000,3600000
Dvara KGFS,Debt Financing,"₹821,000,000","Jul 12, 2023",821000000,9852000
Shiprocket,Series E,"$1,400,000","Feb 2, 2021",105000000,1260000
BrainSightAI,Convertible Note,"₹9,894,000","Jul 10, 2023",9894000,118728
Swadesh,Venture - Series Unknown,—,"Jan 1, 2023",0,0
Physics Wallah,Series A,"$100,000,000","Jun 7, 2022",7500000000,90000000
Mad Over Buildings (mob),Pre-Seed,"₹17,500,000","May 1, 2023",17500000,210000
Signzy,Series B,"₹2,100,000,000","Sep 26, 2022",2100000000,25200000
Difenz,Seed,"₹15,000,000","Nov 30, 2021",15000000,180000
sentra.world,Seed,"₹160,000,000","Jun 5, 2023",160000000,1920000
Balu Forge,Post-IPO Equity,"₹1,111,440,000","Jun 21, 2023",1111440000,13337280
Kredmint,Angel,"$2,000,000","Dec 14, 2022",150000000,1800000
PatilKaki,Seed,"$125,000","Jul 1, 2023",9375000,112500
insideFPV,Seed,"₹35,000,000","Jul 6, 2023",35000000,420000
Jinglebid,Seed,"$250,000","May 9, 2022",18750000,225000
Jayem Automotives,Secondary Market,"₹2,060,000,000","Jul 3, 2023",2060000000,24720000
Landeed,Seed,"$8,300,000","Jan 24, 2023",622500000,7470000
EduFund,Seed,"$3,500,000","May 4, 2023",262500000,3150000
Vidyut,Seed,"₹320,000,000","Dec 8, 2022",320000000,3840000
ScholARLab,Pre-Seed,"$250,000","Jan 6, 2022",18750000,225000
Bodhi Health Education,Seed,—,"Apr 23, 2015",0,0
Officebanao,Funding Round,—,"Jul 6, 2023",0,0
Redesyn,Convertible Note,"₹35,000,000","Jul 17, 2023",35000000,420000
BizzTM,Seed,—,"May 4, 2022",0,0
Leverage Edu,Series C,"$25,000,000","Jul 3, 2023",1875000000,22500000
Uncap Research Labs,Pre-Seed,"$250,000","Oct 1, 2021",18750000,225000
CENTA,Venture - Series Unknown,—,"Jan 1, 2020",0,0
Lentra,Series B,"$27,000,000","Apr 24, 2023",2025000000,24300000
Mahila Money,Seed,—,"Jan 1, 2023",0,0
IIFL Finance,Post-IPO Debt,"$50,000,000","Jul 16, 2023",3750000000,45000000
Ogive Technology,Non-equity Assistance,—,"Jan 1, 2021",0,0
Lentra,Series A,"$11,700,000","Nov 21, 2019",877500000,10530000
Kaar Technologies,Venture - Series Unknown,"₹2,400,000,000","Jun 26, 2023",2400000000,28800000
Atomberg Technology,Series C,"$86,000,000","May 29, 2023",6450000000,77400000
KisanKonnect,Angel,—,"May 30, 2023",0,0
Rubick.ai,Seed,"₹45,000,000","Aug 18, 2020",45000000,540000
LetsTransport,Venture - Series Unknown,"$25,000,000","Jul 14, 2023",1875000000,22500000
DealShare,Series E,"$210,000,000","Jan 27, 2022",15750000000,189000000
Lattice Innovations,Seed,—,"Jan 1, 2016",0,0
IntoTheVerse,Seed,—,"Jan 1, 2023",0,0
Fly91,Private Equity,"₹2,000,000,000","Jan 9, 2023",2000000000,24000000
House Technologies,Pre-Seed,"₹750,000","Jan 1, 2023",750000,9000
Borosil Renewables,Post-IPO Equity,"₹2,000,000,000","Dec 18, 2020",2000000000,24000000
Maxivision Super Speciality Eye Hospitals,Private Equity,"₹6,000,000,000","Jul 12, 2023",6000000000,72000000
ZERON,Pre-Seed,"$150,000","Apr 13, 2023",11250000,135000
Shiprocket,Series C,"$13,000,000","May 11, 2020",975000000,11700000
Cygni Energy,Seed,"₹100,000,000","Jun 24, 2016",100000000,1200000
Newme,Pre-Seed,—,"Jun 1, 2022",0,0
Darwinbox,Venture - Series Unknown,—,"Jan 27, 2021",0,0
Chalo,Series D,"$45,000,000","May 22, 2023",3375000000,40500000
WEICL Investments,Private Equity,—,"Mar 5, 2014",0,0
Alpha Fortress Private Limited,Seed,—,"Dec 1, 2021",0,0
Muse Diagnostics,Pre-Seed,—,"Jun 26, 2020",0,0
Adani Enterprises,Post-IPO Debt,"₹12,500,000,000","Jul 11, 2023",12500000000,150000000
Ticket 9,Pre-Seed,"$120,000","May 24, 2023",9000000,108000
Cogoport,Series B,"$50,000,000","Apr 6, 2022",3750000000,45000000
WEICL Investments,Private Equity,—,"Mar 7, 2013",0,0
Labhya,Venture - Series Unknown,—,"Jan 1, 2020",0,0
INDUSaction,Venture - Series Unknown,—,"Jan 1, 2016",0,0
Siply Services,Seed,"$19,000,000","Jun 14, 2022",1425000000,17100000
savart,Seed,"$1,500,000","Sep 22, 2022",112500000,1350000
Fitbee,Private Equity,—,"Jan 21, 2022",0,0
Fitbee,Private Equity,—,"Aug 7, 2020",0,0
WEICL Investments,Private Equity,—,"Dec 12, 2016",0,0
WEICL Investments,Private Equity,—,"Mar 23, 2018",0,0
WEICL Investments,Private Equity,—,"Dec 18, 2017",0,0
Ailopeai,Seed,"$600,000","Jul 1, 2023",45000000,540000
FreeStand Sampling,Pre-Seed,"$100,000","Dec 18, 2022",7500000,90000
TECH AT PLAY,Seed,"₹2,500,000","Jul 19, 2023",2500000,30000
Good Flippin Burgers,Series A,"₹328,000,000","Jun 20, 2023",328000000,3936000
ARYAV,Pre-Seed,—,"Jan 1, 2022",0,0
Peepul,Venture - Series Unknown,—,"Jan 1, 2020",0,0
GreenCell Mobility,Debt Financing,"₹30,000,000,000","Jul 24, 2023",30000000000,360000000
SUN Mobility,Venture - Series Unknown,—,"Jan 1, 2019",0,0
AmpIn Energy Transition (Formerly Amp Energy India),Venture - Series Unknown,"$250,000,000","May 31, 2023",18750000000,225000000
MedLink Jobs,Seed,"$550,000","Mar 6, 2023",41250000,495000
Kirana Club,Seed,—,"Mar 10, 2023",0,0
PaddleBoat,Pre-Seed,—,"May 16, 2022",0,0
Matter,Series A,"$18,000,000","Mar 24, 2023",1350000000,16200000
Annapurna Finance,Venture - Series Unknown,"₹9,990,000","Mar 2, 2016",9990000,119880
Qlan,Pre-Seed,"₹17,000,000","Jun 28, 2023",17000000,204000
Rocket Learning,Venture - Series Unknown,—,"Jan 1, 2023",0,0
ReNew,Post-IPO Debt,"₹640,000,000,000","Jul 20, 2023",6.4E+11,7680000000
Parcel,Pre-Seed,"$500,000","Jan 1, 2021",37500000,450000
The/Nudge Foundation,Venture - Series Unknown,—,"Jan 1, 2018",0,0
Spottabl,Funding Round,—,"Jan 1, 2023",0,0
GangaGen,Seed,"$1,800,000","Oct 9, 2008",135000000,1620000
Lendingkart,Debt Financing,"₹2,000,000,000","Jun 27, 2023",2000000000,24000000
Instaraise,Seed,—,"Nov 27, 2021",0,0
Marriage Duniya ™,Grant,"₹240,000","Mar 1, 2023",240000,2880
BluJ Aero,Seed,"$2,250,000","Jun 27, 2023",168750000,2025000
Algorithmic Biologics,Seed,—,"Jan 11, 2022",0,0
Thrillophilia.com,Corporate Round,"$3,000,000","Mar 2, 2022",225000000,2700000
Hopscotch,Series E,"$20,000,000","May 24, 2023",1500000000,18000000
GIVA,Secondary Market,"₹700,000,000","Jul 5, 2023",700000000,8400000
Brú Finance,Venture - Series Unknown,"$2,000,000","Mar 16, 2022",150000000,1800000
Weekly10,Seed,"$650,000","Feb 2, 2023",48750000,585000
Vable Inc,Seed,"$1,300,000","Mar 1, 2023",97500000,1170000
StockGro,Series A,"₹2,400,000,000","Jan 20, 2022",2400000000,28800000
Veritas Finance,Private Equity,"₹10,500,000,000","Jul 5, 2023",10500000000,126000000
Vivifi India,Series A,"$3,760,000","Mar 30, 2019",282000000,3384000
SafetyKart Retail,Venture - Series Unknown,"$1,000,000","Apr 12, 2017",75000000,900000
AgSpeak,Grant,"₹2,000,000","Apr 26, 2023",2000000,24000
Omnivore,Venture - Series Unknown,—,"Jun 29, 2023",0,0
Pure EV,Venture - Series Unknown,"$35,000,000","Jul 10, 2019",2625000000,31500000
Ola Electric,Series B,"$1,000,000","Mar 12, 2020",75000000,900000
Frigate,Seed,"$1,500,000","Jul 4, 2023",112500000,1350000
KreditBee,Series D,"₹9,799,920,000","Jan 6, 2023",9799920000,117599040
Happiest Minds Technologies,Post-IPO Equity,"₹5,000,000,000","Jul 18, 2023",5000000000,60000000
Falcon,Seed,"$2,000,000","Oct 14, 2021",150000000,1800000
Ruby's Coffee,Pre-Seed,—,"Sep 28, 2021",0,0
Hexo,Pre-Seed,"$250,000","Jul 6, 2023",18750000,225000
REGRIP,Angel,—,"Jul 15, 2023",0,0
Lokal,Series B,"₹1,200,000,000","Apr 25, 2023",1200000000,14400000
OneBoard,Pre-Seed,"₹3,750,000","Dec 21, 2021",3750000,45000
Connectclub,Pre-Seed,—,"Mar 31, 2022",0,0
Rocketium,Seed,—,"Jun 29, 2021",0,0
Yumlane,Seed,"$1,000,000","Aug 2, 2016",75000000,900000
NomadGao,Pre-Seed,—,"Dec 19, 2022",0,0
Pura Organic Agro Tech,Private Equity,"$2,500,000","Aug 6, 2021",187500000,2250000
CoHo.in,Venture - Series Unknown,—,"Jan 1, 2019",0,0
IIFL Finance,Post-IPO Equity,—,"Jan 1, 2010",0,0
Innov8 Coworking,Angel,—,"Feb 15, 2017",0,0
Omnivio,Angel,"$500,000","Aug 1, 2022",37500000,450000
Showroom B2B,Angel,"$180,000","Jan 1, 2021",13500000,162000
Mister Veg,Seed,—,"Mar 17, 2023",0,0
Storyteller,Pre-Seed,"$100,000","Mar 18, 2019",7500000,90000
Aadvik Foods,Seed,"₹1,500,000","Mar 1, 2023",1500000,18000
Healthy Master,Seed,"₹5,000,000","Mar 7, 2023",5000000,60000
AgriFi,Seed,"$100,000","May 3, 2023",7500000,90000
Lil'Goodness,Debt Financing,"₹5,000,000","Mar 16, 2023",5000000,60000
Yogabars,Series B,"₹1,750,000,000","May 5, 2023",1750000000,21000000
Little Black Book,Seed,"$150,000","Jun 2, 2015",11250000,135000
FaunaTech,Seed,"$100,000","May 3, 2023",7500000,90000
Start Insights,Pre-Seed,"₹5,200,000","Jan 4, 2023",5200000,62400
Mister Veg,Seed,"$570,000","Apr 13, 2021",42750000,513000
Lil'Goodness,Seed,"₹5,000,000","Mar 16, 2023",5000000,60000
The Green Snack,Seed,"₹10,000,000","Feb 8, 2023",10000000,120000
SafEarth,Seed,"₹35,000,000","Jun 21, 2023",35000000,420000
ConveGenius,Seed,"$5,000,000","Oct 19, 2021",375000000,4500000
Wow! Momo,Series D,"₹1,250,000,000","Sep 6, 2022",1250000000,15000000
Damroo,Seed,—,"Jun 6, 2023",0,0
Mahindra Rise,Post-IPO Equity,—,"Jan 1, 2014",0,0
Kristnam Technologies,Seed,"$1,490,000","Aug 2, 2022",111750000,1341000
Tenxer Technologies,Seed,—,"Jan 1, 2019",0,0
Slick App,Seed,"$1,600,000","May 9, 2023",120000000,1440000
Asian Institute of Medical Sciences,Venture - Series Unknown,"$21,000,000","Feb 6, 2018",1575000000,18900000
Navadhan Capital,Pre-Seed,—,"Jan 1, 2022",0,0
Attron Automotive,Seed,"₹47,500,000","Jun 7, 2023",47500000,570000
Cube Highways Trust,Post-IPO Debt,"₹10,300,000,000","Jun 29, 2023",10300000000,123600000
Chingari,Seed,—,"Nov 4, 2020",0,0
PolicyBoss,Series B,—,"Jun 6, 2023",0,0
Reliance Jio,Venture - Series Unknown,"₹7,300,000,000","Jul 12, 2020",7300000000,87600000
Fittr,Series A,"$11,500,000","Sep 23, 2021",862500000,10350000
Sheru,Seed,—,"Jan 1, 2021",0,0
TransBnk,Seed,"$1,000,000","Jun 20, 2023",75000000,900000
Ola,Seed,—,"Jan 13, 2012",0,0
Veritas Finance,Debt Financing,"₹550,000,000","Apr 6, 2018",550000000,6600000
Tata Value Homes,Venture - Series Unknown,"$25,000,000","May 30, 2016",1875000000,22500000
Kodo,Seed,"₹635,000,000","May 27, 2021",635000000,7620000
Zoomcar,Series C,"$40,000,000","Feb 16, 2018",3000000000,36000000
Hero Honda Motors,Private Equity,—,"Jan 5, 2023",0,0
RBL Bank,Venture - Series Unknown,"$54,370,000","Aug 18, 2016",4077750000,48933000
Memesys Culture Lab,Pre-Seed,—,"Feb 1, 2023",0,0
Nat Habit,Pre-Seed,—,"Apr 23, 2020",0,0
Neend,Seed,—,"Dec 3, 2021",0,0
LogiPe,Seed,—,"Apr 4, 2022",0,0
Maya Labs,Seed,—,"Dec 3, 2020",0,0
Karkinos Healthcare,Series B,—,"Oct 5, 2022",0,0
EVINDIA,Pre-Seed,—,"Mar 1, 2022",0,0
Open Secret,Seed,—,"Jun 4, 2019",0,0
Koskii,Series A,"₹610,000,000","Jun 28, 2023",610000000,7320000
LocalWell Healthtech,Seed,—,"Jun 4, 2022",0,0
EQUIP9,Seed,"$650,000","Dec 1, 2022",48750000,585000
Vyome Therapeutics,Series D,"$22,000,000","Jan 3, 2019",1650000000,19800000
Fleek,Seed,—,"Jun 13, 2023",0,0
Wheebox,Series A,"$5,000,000","Feb 3, 2017",375000000,4500000
Navi Technologies,Debt Financing,"₹6,000,000,000","May 12, 2022",6000000000,72000000
Coforge,Post-IPO Secondary,"₹8,870,000,000","May 2, 2023",8870000000,106440000
BillionE (BillionElectric),Seed,"$10,000,000","Jun 27, 2023",750000000,9000000
Muthoot Microfin,Private Equity,"$10,000,000","Oct 3, 2022",750000000,9000000
Enzen Global Solutions,Private Equity,"₹6,850,000,000","Jul 10, 2019",6850000000,82200000
Nestroots,Debt Financing,—,"Jul 2, 2021",0,0
Sukham,Pre-Seed,"₹25,000,000","Jan 21, 2023",25000000,300000
E2E Networks,Seed,—,"Mar 11, 2010",0,0
ADVNCEPROTEC AUTOMATION PRIVATE LIMITED (APAPL),Pre-Seed,"$267,028","Mar 25, 2023",20027100,240325.2
Kaya Skin Clinic,Post-IPO Equity,"$4,000,000","Apr 4, 2022",300000000,3600000
Khatabook,Series C,"₹7,430,000,000","Aug 24, 2021",7430000000,89160000
Sputnik Brain,Grant,—,"Nov 11, 2022",0,0
MeraPashu360,Venture - Series Unknown,"$5,500,000","Apr 1, 2022",412500000,4950000
IBS Software Services,Secondary Market,"$450,000,000","May 15, 2023",33750000000,405000000
MedTourEasy,Series A,"$1,500,000","Mar 3, 2023",112500000,1350000
Upswing Financial Technologies,Seed,"₹300,000,000","Feb 28, 2022",300000000,3600000
Ecom Express,Private Equity,"$250,000,000","Dec 16, 2020",18750000000,225000000
Vinculum Group,Series C,—,"Jul 25, 2023",0,0
GreenCell Mobility,Grant,"$5,525,000","Nov 7, 2022",414375000,4972500
Heads Up For Tails,Seed,"$1,000,000","Feb 5, 2016",75000000,900000
Fibr- AI-native Platform for Enterprise Marketers,Seed,"$2,000,000","Jun 24, 2023",150000000,1800000
Altre,Seed,"$1,000,000","Jul 22, 2023",75000000,900000
Quest Alliance,Grant,—,"Jul 19, 2023",0,0
BharatNXT,Seed,"$1,200,000","Jun 1, 2023",90000000,1080000
Kashware,Pre-Seed,—,"Jan 1, 2021",0,0
F45 Training,Seed,—,"Jan 1, 2021",0,0
"WTF : Fitness, Diet and Smart Gyms",Angel,"$120,000","Mar 15, 2023",9000000,108000
2070 Health,Seed,"$30,000,000","Jun 7, 2023",2250000000,27000000
Recur Club,Seed,—,"Jan 1, 2022",0,0
Pando,Series B,"$30,000,000","May 3, 2023",2250000000,27000000
Truliv,Pre-Seed,"₹120,000,000","Jun 21, 2023",120000000,1440000
NDR Warehousing,Private Equity,"₹5,000,000,000","Jul 3, 2023",5000000000,60000000
Tummoc,Seed,"$1,000,000","Jun 22, 2023",75000000,900000
UnivLabs,Non-equity Assistance,—,"Jan 1, 2023",0,0
DevX,Venture - Series Unknown,"$3,000,000","Apr 24, 2023",225000000,2700000
FootLoose Labs,Seed,—,"Dec 11, 2022",0,0
Hirehike,Pre-Seed,"$1,000,000","Dec 20, 2020",75000000,900000
TradingLeagues,Seed,"$3,500,000","Jun 7, 2023",262500000,3150000
GenWise,Seed,"$3,500,000","Apr 12, 2023",262500000,3150000
SuperBottoms,Funding Round,—,"Jul 20, 2023",0,0
Orange Health Labs,Series A,"$10,000,000","Sep 4, 2021",750000000,9000000
Bhujialalji,Corporate Round,"₹51,000,000","Jul 19, 2023",51000000,612000
Marksman Technologies,Seed,—,"Mar 10, 2010",0,0
Disbug,Pre-Seed,"$100,000","May 25, 2023",7500000,90000
Red Fort Capital,Debt Financing,"₹115,000,000","Jun 21, 2023",115000000,1380000
Entrepreneur Excel,Seed,—,"Sep 2, 2022",0,0
Spark Studio,Seed,—,"Mar 20, 2022",0,0
Waffle House India,Seed,—,"Sep 15, 2022",0,0
Fairchem Specialty,Post-IPO Equity,"₹1,314,100,000","Jan 1, 2016",1314100000,15769200
Indian Institute of Technology Bombay (IIT),Grant,"₹225,000,000","Jul 3, 2023",225000000,2700000
Raven,Pre-Seed,"$100,000","Jan 30, 2023",7500000,90000
InsightGig,Pre-Seed,"$100,000","Jan 10, 2023",7500000,90000
Krtya Softwares,Pre-Seed,"$100,000","Mar 30, 2023",7500000,90000
Kommunicate,Seed,"$100,000","Jul 23, 2023",7500000,90000
Material Depot,Seed,"$1,400,000","Mar 28, 2022",105000000,1260000
LabaHolic,Pre-Seed,"$110,000","Jun 9, 2023",8250000,99000
Infinite Uptime,Series B,"₹1,560,000,000","May 22, 2023",1560000000,18720000
Grouple,Seed,"$60,000","May 30, 2023",4500000,54000
Welspun India,Post-IPO Equity,"₹1,625,000,000","Nov 1, 2021",1625000000,19500000
Azure Hospitality,Venture - Series Unknown,"₹650,000,000","Jan 24, 2018",650000000,7800000
SeQuent Scientific,Post-IPO Equity,"₹1,300,000,000","Jun 29, 2020",1300000000,15600000
Skills Caravan,Seed,—,"Jun 12, 2023",0,0
Groyyo,Series A,"$28,000,000","Jun 14, 2022",2100000000,25200000
AI4Bhārat,Venture - Series Unknown,"$12,000,000","Jul 10, 2023",900000000,10800000
Toothsi,Series C,"$40,000,000","May 1, 2022",3000000000,36000000
